0,3,5,7,22,42,70,65,98,69,70,75,65,68,81,40,35,31,29,35,                     30,29,27,23,18,
5,5,25,53,66,87,79,104,78,70,59,56,57,82,63,63,51,46,54,41,                31,35,28,33,30,
44,70,73,87,118,105,68,55,55,58,57,46,46,42,52,60,62,39,40,35,          31,23,24,20,19,
0,0,7,11,25,32,46,57,78,72,99,86,76,72,55,39,46,38,35,41,                   29,32,37,40,33,
7,10,12,31,32,41,98,97,122,90,76,77,70,57,51,40,42,46,36,27,              39,40,33,33,28,
8,8,15,30,26,38,84,107,102,99,89,76,68,63,45,42,45,40,35,41,              43,31,31,26,34,
5,12,10,30,27,30,86,100,102,109,94,81,64,72,52,45,42,45,38,33,          40,37,34,31,26,
7,8,8,22,27,27,67,87,100,108,113,102,70,57,59,56,57,46,39,37,            38,36,32,27,26,
5,8,9,26,27,29,73,86,104,110,102,94,75,65,56,55,53,43,41,38,              28,29,30,31,34,
8,10,33,26,31,41,84,106,110,106,78,70,71,56,49,42,38,37,40,42,          39,36,28,32,28,
5,19,32,30,39,57,52,56,81,96,80,70,65,54,53,48,47,37,35,29,                27,35,34,35,55,
21,35,43,44,41,40,34,27,28,38,44,53,85,70,63,43,35,36,36,38,              31,30,26,30,27,
26,58,41,38,37,38,28,20,22,25,31,35,37,52,85,56,49,40,35,32,              32,21,28,28,40,
47,51,35,35,42,28,24,23,19,20,24,32,34,44,50,66,62,48,38,26,              28,32,22,31,41,
19,39,52,39,32,37,31,18,21,20,22,27,29,28,39,46,58,72,47,30,              33,32,20,29,28,
8,34,53,33,35,44,34,22,23,20,22,28,30,41,60,63,64,47,36,31,                26,30,34,28,23,
8,14,28,31,31,38,34,40,39,52,72,61,67,62,48,40,40,41,38,30,                28,26,23,27,28,
4,7,4,23,23,24,23,41,49,72,107,66,60,60,47,54,45,39,29,31,                 27,28,28,28,29,
4,7,3,7,22,18,22,27,60,73,91,80,73,49,53,51,41,38,45,30,                     30,24,27,27,30,
4,6,5,9,26,20,31,61,87,100,79,68,59,62,52,47,34,33,33,26,                   22,29,27,31,22,
5,6,8,15,16,65,56,78,88,93,80,63,67,59,44,38,33,30,35,30,                   31,23,28,33,26,
11,9,19,73,74,72,63,60,83,71,63,67,55,49,42,42,33,38,35,26,35,29,34,34,31,
2,8,11,75,72,67,67,68,75,67,73,56,53,51,62,49,41,38,37,36,28,36,41,42,37,
7,60,75,57,60,65,57,61,62,81,57,49,46,56,52,42,41,34,36,30,34,40,35,39,33,
21,42,55,71,72,79,70,52,66,64,56,60,57,48,49,42,36,37,39,29,28,29,29,35,27,
9,24,37,62,72,115,102,79,62,67,55,61,45,53,38,39,39,28,38,29,28,40,31,34,28,
7,15,48,65,94,135,87,62,72,69,42,59,51,41,41,42,33,36,36,29,31,29,21,24,25,
12,32,49,119,124,96,74,67,56,67,53,63,46,37,34,42,37,30,24,34,24,29,24,29,26,
17,34,68,106,131,100,77,62,62,57,64,64,36,46,40,37,29,28,28,35,30,23,26,26,29,
28,46,55,145,116,78,88,66,67,55,58,56,45,41,40,36,29,33,36,28,30,29,26,30,28,
10,29,58,97,137,102,100,66,67,52,67,51,56,46,41,38,35,27,35,29,29,32,37,23,27,
20,37,61,110,138,103,90,69,76,54,64,55,49,48,36,32,39,38,31,31,26,30,31,31,29,
15,35,53,116,135,84,107,71,68,51,75,67,43,40,39,39,47,36,35,27,30,31,28,33,29,
19,24,48,58,163,103,109,79,73,53,67,67,53,56,48,32,39,32,41,41,28,33,30,31,32,
21,32,29,85,130,129,86,76,77,64,60,67,60,53,47,49,36,35,32,32,33,34,27,30,23,
