9,6,12,11,12,25,16,23,25,27,26,28,25,34,33,35,44,18,38,25,                             26,24,22,24,20,
261,230,229,272,149,88,98,89,86,84,68,32,22,19,16,13,12,8,4,3,                     2,4,3,3,2,
1,6,357,338,157,136,109,117,97,79,81,84,143,57,35,38,26,31,18,19,  21,9,14,17,10,
92,108,138,122,172,189,189,123,69,51,57,53,49,63,60,52,70,65,77,49,            51,44,44,53,37,
112,110,120,140,162,126,98,82,95,76,64,69,72,73,83,91,80,47,73,55,  41,36,33,21,15,
102,98,124,137,130,132,125,94,74,67,61,74,70,66,78,113,103,64,60,51,  45,45,32,18,9,
102,120,120,126,145,136,121,100,74,66,76,74,71,70,66,121,89,54,69,53, 50,37,28,20,16,
80,74,76,63,62,69,51,49,54,38,38,34,32,35,26,21,22,19,21,16, 16,15,16,15,16,
74,73,65,71,65,72,57,65,64,62,53,54,47,52,39,47,34,42,41,29,                       31,29,26,23,26,
111,107,92,85,94,85,78,76,85,74,72,72,72,76,59,60,58,47,39,43,                   32,34,29,23,20,
51,76,61,74,70,81,88,70,67,65,71,63,70,78,65,76,65,62,56,70,                       85,72,63,57,49,
78,132,162,131,83,94,88,66,63,38,34,33,28,38,99,92,106,73,59,23,16,19,29,16,10,
126,149,145,153,124,97,70,37,44,35,37,34,29,36,36,31,154,151,37,26,23,25,25,13,8,
280,143,93,84,79,82,89,85,72,56,55,57,69,76,92,73,47,31,41,41,39,13,4,7,3,
282,175,130,80,106,95,75,48,47,41,61,57,54,90,84,38,31,34,36,29,4,5,4,2,2,
265,241,152,95,115,95,55,42,50,58,63,56,59,92,76,55,33,27,35,31,10,3,3,0,0,
276,145,97,96,79,104,88,99,76,66,62,72,77,80,93,69,37,34,40,41,15,5,4,0,2,
28,28,28,26,22,24,25,21,24,20,15,18,16,15,19,17,13,17,16,13,17,19,14,23,20,
41,41,35,39,42,34,37,35,37,33,34,32,30,30,26,22,27,31,27,21,27,22,18,19,18,
66,54,61,56,46,52,44,53,43,42,34,41,35,35,40,31,40,36,34,26,26,29,24,27,19,
195,176,191,166,120,123,57,36,43,43,45,53,64,64,91,104,50,49,29,33,40,25,6,3,1,
240,168,162,172,93,67,53,43,37,40,40,47,44,61,64,101,98,70,56,43,43,32,22,14,13,
212,167,121,122,61,54,36,42,40,48,49,54,82,99,76,72,78,59,36,27,20,17,12,14,9,
232,198,146,149,103,59,54,44,44,42,47,53,69,115,109,93,79,71,44,20,17,13,10,7,5,
118,214,193,165,146,116,86,64,52,62,57,73,96,80,67,62,63,48,19,18,12,9,7,6,3,
47,43,45,42,44,36,43,39,42,48,53,48,52,47,61,57,93,136,100,76,61,57,42,43,49,
117,76,86,119,140,161,206,165,155,109,82,46,66,56,64,57,28,28,17,16,12,17,8,4,10,
122,221,288,174,79,57,47,48,50,66,86,145,113,70,72,58,29,21,30,35,24,15,12,6,7,
95,198,229,193,127,79,52,43,42,60,69,85,165,104,65,71,30,23,24,28,18,23,17,19,14,
144,174,283,201,98,67,42,34,38,39,56,62,70,88,199,74,50,46,22,14,12,12,14,9,9,
82,111,135,133,119,221,169,108,99,145,143,117,79,44,57,33,15,11,10,11,12,7,9,5,3,
143,111,165,110,94,90,71,51,43,33,39,36,34,36,37,33,52,100,221,109,71,50,38,15,8,
247,136,101,107,94,86,93,83,66,41,39,44,42,51,64,72,150,89,47,35,37,38,15,4,5,
251,200,140,120,95,106,129,62,45,46,37,41,38,46,53,72,60,98,70,37,41,24,9,6,4,
239,131,125,135,109,67,38,37,40,41,42,44,60,65,77,111,89,64,66,39,21,23,22,12,12,
288,244,207,101,75,54,40,44,42,47,39,59,78,80,75,72,56,43,30,31,29,29,23,13,14,
201,214,197,144,75,54,46,40,43,42,60,91,109,142,85,81,71,59,24,18,21,20,28,13,10,
237,264,201,119,84,57,48,38,47,55,86,77,89,114,77,76,60,35,24,19,17,11,9,7,4,
205,265,201,137,62,46,45,32,37,42,64,85,108,127,85,77,62,39,47,31,33,25,23,15,13,
212,292,251,119,67,55,40,39,40,42,73,88,102,112,77,59,62,41,37,36,26,27,23,18,13,
169,155,231,138,104,63,46,40,40,73,84,129,86,90,70,72,37,40,45,36,                       33,23,20,23,20,
355,226,131,63,46,45,44,31,39,32,54,72,63,92,150,120,79,55,44,37,19,14,13,13,12,
181,186,224,166,85,71,42,41,51,74,133,138,100,85,71,58,32,32,34,25,                   26,26,23,21,22,
51,122,129,124,98,113,120,146,142,123,118,91,105,59,45,52,43,38,38,41,38,24,22,13,13,
323,257,133,67,44,46,39,30,32,37,55,63,73,92,177,187,55,59,33,22,25,25,20,12,13,
101,125,123,161,133,100,79,76,73,93,138,161,157,92,63,43,25,40,45,38,34,35,21,18,18,
30,31,37,45,111,241,120,131,116,133,102,107,111,114,104,71,67,68,46,43,28,25,21,21,14,
175,241,234,93,49,39,36,32,44,66,77,138,162,88,69,47,36,39,39,34,37,31,28,23,14,
284,333,121,65,42,34,38,35,37,48,59,59,79,148,182,71,62,49,39,25,27,21,20,15,19,
116,135,142,128,199,158,64,97,127,116,91,83,72,63,48,27,36,43,46,49,40,30,22,23,17,
444,174,135,101,47,43,42,34,37,50,56,60,72,88,138,137,55,44,33,30,29,22,14,17,11,
208,261,260,140,50,46,39,33,51,62,50,77,93,99,163,144,57,31,29,17,22,14,16,7,6,
160,275,487,275,122,59,57,47,60,49,57,47,51,36,22,22,16,24,13,17,7,5,4,3,0,
0,0,0,0,19,346,160,125,97,96,64,57,47,41,43,42,37,49,44,47,45,38,29,33,10,
11,59,246,232,125,109,89,69,41,38,32,33,34,26,26,25,24,31,29,20,21,22,18,16,7,
78,130,96,101,96,98,92,88,69,43,51,40,30,25,32,23,18,25,20,18,13,15,16,7,6,
26,34,53,76,63,70,67,67,64,77,71,83,59,64,47,43,62,43,38,43,28,9,6,2,0,
5,40,97,98,101,125,118,128,107,97,67,61,30,43,32,23,7,2,0,0,0,0,0,0,0,
2,6,51,108,124,137,110,130,143,98,93,60,53,25,7,4,4,2,3,2,2,2,2,1,0,
4,9,12,23,104,87,161,121,144,128,119,87,84,44,13,11,3,7,1,1,1,1,1,1,2,
3,6,14,30,84,104,141,164,120,150,110,111,75,38,14,4,3,2,4,4,2,1,1,0,1,
4,6,19,72,94,160,136,146,153,123,116,71,63,24,6,4,2,4,3,1,1,0,1,0,0,
50,105,137,114,121,104,134,111,93,80,71,43,13,5,2,2,1,0,0,1,0,0,0,0,0,
